User Time (s), System Time (s), Real Time (s), Executable Size (KB)
4.03, 0.04, 4.08, 16.52 
3.71, 0.06, 3.77, 16.52 
3.92, 0.07, 3.99, 16.52 
3.73, 0.05, 3.78, 16.52 
3.46, 0.03, 3.49, 16.52 
3.77, 0.02, 3.79, 16.52 
3.71, 0.03, 3.74, 16.52 
3.79, 0.08, 3.89, 16.52 
3.96, 0.05, 4.02, 16.52 
3.84, 0.03, 3.88, 16.52 
3.70, 0.03, 3.73, 16.52 
3.68, 0.04, 3.72, 16.52 
3.83, 0.09, 3.92, 16.52 
3.54, 0.05, 3.60, 16.52 
3.77, 0.04, 3.82, 16.52 
3.47, 0.06, 3.54, 16.52 
3.68, 0.03, 3.71, 16.52 
3.90, 0.05, 3.95, 16.52 
3.32, 0.05, 3.38, 16.52 
3.40, 0.05, 3.45, 16.52 
3.63, 0.00, 3.63, 16.52 
3.40, 0.08, 3.48, 16.52 
3.17, 0.08, 3.26, 16.52 
3.24, 0.04, 3.29, 16.52 
3.57, 0.05, 3.62, 16.52 
3.23, 0.06, 3.29, 16.52 
3.72, 0.01, 3.74, 16.52 
3.67, 0.03, 3.70, 16.52 
3.78, 0.04, 3.82, 16.52 
3.55, 0.06, 3.61, 16.52 
