User Time (s), System Time (s), Real Time (s), Executable Size (KB)
4.87, 0.07, 4.94, 16.56 
4.84, 0.05, 4.90, 16.56 
4.81, 0.07, 4.88, 16.56 
4.83, 0.06, 4.90, 16.56 
4.85, 0.07, 4.92, 16.56 
4.87, 0.06, 4.94, 16.56 
4.95, 0.08, 5.04, 16.56 
4.85, 0.06, 4.91, 16.56 
4.85, 0.06, 4.91, 16.56 
4.82, 0.06, 4.89, 16.56 
4.86, 0.05, 4.91, 16.56 
4.84, 0.08, 4.92, 16.56 
4.83, 0.06, 4.90, 16.56 
4.86, 0.06, 4.92, 16.56 
4.83, 0.06, 4.90, 16.56 
4.78, 0.09, 4.88, 16.56 
4.87, 0.05, 4.93, 16.56 
4.88, 0.05, 4.93, 16.56 
4.84, 0.07, 4.91, 16.56 
4.86, 0.06, 4.92, 16.56 
4.86, 0.05, 4.92, 16.56 
4.83, 0.05, 4.89, 16.56 
4.81, 0.09, 4.90, 16.56 
4.85, 0.05, 4.91, 16.56 
4.84, 0.06, 4.91, 16.56 
4.88, 0.05, 4.93, 16.56 
4.84, 0.05, 4.89, 16.56 
4.87, 0.04, 4.91, 16.56 
4.83, 0.09, 4.92, 16.56 
4.87, 0.05, 4.93, 16.56 
