User Time (s), System Time (s), Real Time (s), Executable Size (KB)
3.37, 0.09, 3.47, 15.78 
3.48, 0.04, 3.53, 15.78 
3.62, 0.08, 3.71, 15.78 
3.56, 0.11, 3.68, 15.78 
3.63, 0.08, 3.72, 15.78 
3.33, 0.07, 3.40, 15.78 
3.64, 0.05, 3.70, 15.78 
3.62, 0.03, 3.66, 15.78 
3.44, 0.02, 3.47, 15.78 
3.48, 0.04, 3.52, 15.78 
3.56, 0.06, 3.63, 15.78 
3.50, 0.03, 3.53, 15.78 
3.39, 0.05, 3.45, 15.78 
3.30, 0.06, 3.36, 15.78 
3.37, 0.06, 3.44, 15.78 
3.44, 0.01, 3.46, 15.78 
3.77, 0.01, 3.78, 15.78 
3.72, 0.02, 3.75, 15.78 
3.68, 0.04, 3.73, 15.78 
3.93, 0.03, 3.97, 15.78 
3.52, 0.04, 3.56, 15.78 
3.70, 0.08, 3.78, 15.78 
3.23, 0.01, 3.24, 15.78 
4.08, 0.05, 4.14, 15.78 
3.71, 0.06, 3.77, 15.78 
3.71, 0.04, 3.76, 15.78 
3.69, 0.04, 3.74, 15.78 
3.66, 0.02, 3.68, 15.78 
3.55, 0.02, 3.57, 15.78 
3.69, 0.05, 3.75, 15.78 
