User Time (s), System Time (s), Real Time (s), Executable Size (KB)
4.66, 0.07, 4.74, 15.79 
4.79, 0.05, 4.85, 15.79 
4.66, 0.08, 4.75, 15.79 
4.66, 0.04, 4.71, 15.79 
4.69, 0.08, 4.78, 15.79 
4.69, 0.08, 4.77, 15.79 
4.74, 0.08, 4.83, 15.79 
4.65, 0.05, 4.71, 15.79 
4.67, 0.07, 4.74, 15.79 
4.66, 0.08, 4.75, 15.79 
4.62, 0.05, 4.68, 15.79 
4.64, 0.07, 4.72, 15.79 
4.68, 0.06, 4.75, 15.79 
4.62, 0.07, 4.70, 15.79 
4.68, 0.06, 4.75, 15.79 
4.68, 0.08, 4.77, 15.79 
4.67, 0.06, 4.73, 15.79 
4.65, 0.09, 4.75, 15.79 
4.66, 0.06, 4.73, 15.79 
4.65, 0.09, 4.75, 15.79 
4.64, 0.08, 4.73, 15.79 
4.70, 0.08, 4.79, 15.79 
4.65, 0.09, 4.75, 15.79 
4.69, 0.07, 4.76, 15.79 
4.66, 0.08, 4.75, 15.79 
4.66, 0.07, 4.73, 15.79 
4.64, 0.07, 4.72, 15.79 
4.72, 0.05, 4.78, 15.79 
4.64, 0.07, 4.71, 15.79 
4.67, 0.09, 4.76, 15.79 
