User Time (s), System Time (s), Real Time (s), Executable Size (KB)
4.68, 0.09, 4.78, 15.79 
4.82, 0.07, 4.90, 15.79 
4.75, 0.03, 4.79, 15.79 
4.77, 0.06, 4.83, 15.79 
4.72, 0.07, 4.79, 15.79 
4.73, 0.07, 4.81, 15.79 
4.77, 0.05, 4.83, 15.79 
4.73, 0.08, 4.82, 15.79 
4.74, 0.07, 4.82, 15.79 
4.75, 0.06, 4.81, 15.79 
4.70, 0.08, 4.79, 15.79 
4.75, 0.06, 4.82, 15.79 
4.76, 0.03, 4.80, 15.79 
4.74, 0.07, 4.82, 15.79 
4.69, 0.07, 4.77, 15.79 
4.79, 0.06, 4.85, 15.79 
4.73, 0.07, 4.81, 15.79 
4.73, 0.07, 4.80, 15.79 
4.73, 0.06, 4.79, 15.79 
4.79, 0.04, 4.84, 15.79 
4.72, 0.06, 4.78, 15.79 
4.77, 0.05, 4.82, 15.79 
4.75, 0.05, 4.80, 15.79 
4.72, 0.06, 4.79, 15.79 
4.73, 0.05, 4.79, 15.79 
4.79, 0.06, 4.86, 15.79 
4.72, 0.07, 4.79, 15.79 
4.72, 0.07, 4.80, 15.79 
4.73, 0.05, 4.79, 15.79 
4.75, 0.04, 4.80, 15.79 
