User Time (s), System Time (s), Real Time (s), Executable Size (KB)
3.01, 0.41, 4.44, 1.27 
2.82, 0.37, 4.26, 1.27 
2.93, 0.27, 4.25, 1.27 
3.37, 0.31, 4.73, 1.27 
2.94, 0.48, 4.49, 1.27 
3.08, 0.35, 4.55, 1.27 
2.93, 0.38, 4.39, 1.27 
3.01, 0.46, 4.55, 1.27 
2.96, 0.40, 4.45, 1.27 
3.04, 0.58, 4.63, 1.27 
3.39, 0.48, 4.98, 1.27 
3.14, 0.41, 4.66, 1.27 
2.94, 0.31, 4.33, 1.27 
2.71, 0.28, 4.07, 1.27 
3.01, 0.28, 4.36, 1.27 
2.62, 0.25, 3.89, 1.27 
3.08, 0.30, 4.45, 1.27 
3.10, 0.31, 4.43, 1.27 
3.52, 0.27, 4.80, 1.27 
3.16, 0.59, 4.76, 1.27 
3.05, 0.29, 4.35, 1.27 
3.09, 0.32, 4.42, 1.27 
3.04, 0.25, 4.31, 1.27 
3.13, 0.28, 4.42, 1.27 
3.07, 0.25, 4.33, 1.27 
3.20, 0.35, 4.56, 1.27 
2.92, 0.44, 4.42, 1.27 
2.91, 0.37, 4.35, 1.27 
3.28, 0.30, 4.60, 1.27 
3.22, 0.33, 4.56, 1.27 
