User Time (s), System Time (s), Real Time (s), Executable Size (KB)
6.64, 2.32, 5.98, 1.38 
5.06, 2.31, 4.68, 1.38 
6.17, 2.80, 6.01, 1.38 
5.94, 2.83, 5.97, 1.38 
5.04, 2.39, 4.70, 1.38 
5.12, 2.12, 4.72, 1.38 
5.52, 2.10, 4.88, 1.38 
6.16, 2.44, 5.92, 1.38 
6.22, 2.80, 5.98, 1.38 
6.38, 2.81, 5.97, 1.38 
4.97, 2.23, 4.73, 1.38 
6.27, 2.72, 5.99, 1.38 
6.45, 2.23, 6.03, 1.38 
6.45, 2.04, 5.99, 1.38 
6.54, 2.40, 5.99, 1.38 
5.20, 2.76, 4.92, 1.38 
6.38, 2.40, 5.78, 1.38 
6.36, 2.52, 6.03, 1.38 
6.56, 2.35, 5.94, 1.38 
5.65, 2.02, 4.71, 1.38 
6.02, 2.39, 5.96, 1.38 
6.23, 2.82, 5.93, 1.38 
6.48, 2.16, 6.00, 1.38 
5.68, 2.61, 5.59, 1.38 
6.26, 2.62, 6.01, 1.38 
6.18, 2.22, 6.04, 1.38 
6.29, 3.02, 6.06, 1.38 
5.92, 2.28, 5.88, 1.38 
6.74, 1.95, 6.00, 1.38 
6.53, 2.48, 5.99, 1.38 
