User Time (s), System Time (s), Real Time (s), Executable Size (KB)
4.17, 0.03, 4.47, 16.21 
4.38, 0.06, 4.47, 16.21 
4.33, 0.02, 4.37, 16.21 
4.18, 0.02, 4.21, 16.21 
4.18, 0.06, 4.26, 16.21 
4.34, 0.04, 4.40, 16.21 
4.16, 0.06, 4.23, 16.21 
3.97, 0.01, 3.99, 16.21 
4.46, 0.04, 4.50, 16.21 
4.11, 0.02, 4.14, 16.21 
3.81, 0.06, 3.88, 16.21 
3.94, 0.01, 3.95, 16.21 
3.87, 0.02, 3.89, 16.21 
3.90, 0.06, 3.97, 16.21 
3.78, 0.03, 3.81, 16.21 
3.77, 0.02, 3.79, 16.21 
4.24, 0.10, 4.35, 16.21 
3.92, 0.07, 3.99, 16.21 
3.70, 0.06, 3.77, 16.21 
3.74, 0.00, 3.76, 16.21 
4.01, 0.03, 4.06, 16.21 
3.97, 0.06, 4.03, 16.21 
3.68, 0.05, 3.74, 16.21 
3.75, 0.02, 3.78, 16.21 
4.14, 0.06, 4.20, 16.21 
4.15, 0.01, 4.17, 16.21 
3.90, 0.02, 3.92, 16.21 
3.91, 0.04, 3.96, 16.21 
4.29, 0.01, 4.30, 16.21 
4.20, 0.02, 4.23, 16.21 
