User Time (s), System Time (s), Real Time (s), Executable Size (KB)
5.11, 0.06, 5.18, 16.34 
5.14, 0.06, 5.21, 16.34 
5.17, 0.05, 5.23, 16.34 
5.12, 0.08, 5.21, 16.34 
5.19, 0.04, 5.24, 16.34 
5.29, 0.06, 5.35, 16.34 
5.16, 0.03, 5.20, 16.34 
5.10, 0.08, 5.19, 16.34 
5.15, 0.08, 5.23, 16.34 
5.19, 0.06, 5.25, 16.34 
5.15, 0.08, 5.24, 16.34 
5.13, 0.07, 5.20, 16.34 
5.13, 0.08, 5.22, 16.34 
5.18, 0.07, 5.26, 16.34 
5.16, 0.06, 5.22, 16.34 
5.13, 0.08, 5.21, 16.34 
5.14, 0.08, 5.23, 16.34 
5.19, 0.07, 5.27, 16.34 
5.42, 0.05, 5.48, 16.34 
5.22, 0.05, 5.27, 16.34 
5.18, 0.04, 5.22, 16.34 
5.20, 0.05, 5.25, 16.34 
5.16, 0.04, 5.21, 16.34 
5.13, 0.05, 5.19, 16.34 
5.09, 0.09, 5.19, 16.34 
5.10, 0.09, 5.20, 16.34 
5.13, 0.08, 5.22, 16.34 
5.13, 0.06, 5.19, 16.34 
5.13, 0.07, 5.21, 16.34 
5.09, 0.07, 5.16, 16.34 
