User Time (s), System Time (s), Real Time (s), Executable Size (KB)
5.19, 0.05, 5.24, 16.34 
5.19, 0.04, 5.24, 16.34 
5.23, 0.06, 5.29, 16.34 
5.16, 0.06, 5.23, 16.34 
5.21, 0.06, 5.27, 16.34 
5.17, 0.09, 5.26, 16.34 
5.16, 0.07, 5.24, 16.34 
5.20, 0.07, 5.28, 16.34 
5.22, 0.06, 5.28, 16.34 
5.20, 0.07, 5.28, 16.34 
5.22, 0.07, 5.29, 16.34 
5.17, 0.06, 5.24, 16.34 
5.21, 0.06, 5.27, 16.34 
5.14, 0.10, 5.24, 16.34 
5.18, 0.07, 5.25, 16.34 
5.22, 0.07, 5.30, 16.34 
5.19, 0.05, 5.25, 16.34 
5.26, 0.04, 5.30, 16.34 
5.20, 0.06, 5.27, 16.34 
5.20, 0.05, 5.25, 16.34 
5.18, 0.06, 5.25, 16.34 
5.19, 0.06, 5.26, 16.34 
5.20, 0.06, 5.26, 16.34 
5.16, 0.07, 5.24, 16.34 
5.23, 0.06, 5.30, 16.34 
5.18, 0.06, 5.25, 16.34 
5.20, 0.07, 5.28, 16.34 
5.22, 0.05, 5.28, 16.34 
5.20, 0.06, 5.26, 16.34 
5.22, 0.05, 5.28, 16.34 
