User Time (s), System Time (s), Real Time (s)
4.30, 0.23, 4.54
4.15, 0.16, 4.31
4.10, 0.19, 4.31
4.09, 0.19, 4.28
4.45, 0.17, 4.63
4.24, 0.24, 4.50
4.26, 0.22, 4.50
4.26, 0.22, 4.50
3.99, 0.18, 4.19
4.16, 0.27, 4.43
4.19, 0.24, 4.43
3.95, 0.22, 4.19
4.17, 0.21, 4.40
4.27, 0.17, 4.46
3.88, 0.16, 4.05
4.28, 0.18, 4.47
4.11, 0.19, 4.31
4.65, 0.15, 4.82
4.34, 0.13, 4.49
4.47, 0.18, 4.65
4.16, 0.16, 4.33
4.44, 0.22, 4.68
4.70, 0.18, 4.90
4.29, 0.14, 4.44
4.57, 0.18, 4.77
4.42, 0.21, 4.63
4.41, 0.16, 4.58
4.87, 0.13, 5.00
