User Time (s), System Time (s), Real Time (s)
2.58, 6.74, 1.34
3.35, 7.42, 1.43
2.65, 5.63, 1.36
2.49, 6.50, 1.39
2.95, 6.04, 1.35
2.29, 6.85, 1.39
2.73, 7.87, 1.33
2.54, 6.92, 1.41
3.52, 6.35, 1.28
2.83, 7.77, 1.27
2.37, 5.45, 1.38
3.16, 7.44, 1.43
2.89, 4.87, 1.39
2.91, 9.03, 1.36
2.55, 5.78, 1.37
2.91, 6.62, 1.42
2.76, 6.07, 1.43
2.27, 5.91, 1.38
2.74, 9.01, 1.38
3.05, 8.61, 1.42
3.09, 7.06, 1.33
2.93, 7.79, 1.37
2.61, 7.22, 1.40
2.20, 6.92, 1.40
2.48, 6.39, 1.38
2.99, 8.00, 1.35
2.71, 6.54, 1.43
3.14, 6.37, 1.31
2.79, 7.68, 1.43
2.76, 6.20, 1.41
