User Time (s), System Time (s), Real Time (s)
34.22, 2.90, 37.15
33.91, 2.83, 36.75
34.79, 2.83, 37.63
33.97, 2.83, 36.81
34.09, 2.93, 37.03
34.87, 2.83, 37.72
34.40, 2.76, 37.18
35.08, 2.81, 37.90
34.29, 2.92, 37.22
34.11, 2.78, 36.91
34.04, 2.76, 36.81
34.22, 2.92, 37.15
34.70, 2.81, 37.52
34.62, 2.96, 37.59
33.94, 2.81, 36.76
34.27, 2.85, 37.12
33.98, 2.75, 36.75
34.45, 2.59, 37.05
34.09, 2.71, 36.82
34.38, 2.85, 37.24
34.19, 2.60, 36.80
34.62, 2.84, 37.46
34.15, 2.70, 36.86
34.25, 2.86, 37.12
34.01, 2.72, 36.74
34.25, 2.82, 37.08
33.99, 2.75, 36.75
34.31, 2.73, 37.05
34.09, 2.84, 36.95
34.73, 2.87, 37.62
