User Time (s), System Time (s), Real Time (s), Executable Size (KB)
3.58, 0.06, 3.64, 4304.99 
3.56, 0.05, 3.62, 4304.99 
3.60, 0.05, 3.66, 4304.99 
3.60, 0.04, 3.64, 4304.99 
3.58, 0.07, 3.66, 4304.99 
3.58, 0.05, 3.64, 4304.99 
3.57, 0.07, 3.65, 4304.99 
3.52, 0.08, 3.60, 4304.99 
3.59, 0.07, 3.66, 4304.99 
3.55, 0.06, 3.62, 4304.99 
3.61, 0.04, 3.66, 4304.99 
3.56, 0.08, 3.64, 4304.99 
3.56, 0.06, 3.63, 4304.99 
3.57, 0.05, 3.62, 4304.99 
3.57, 0.08, 3.65, 4304.99 
3.55, 0.08, 3.64, 4304.99 
3.57, 0.07, 3.64, 4304.99 
3.55, 0.07, 3.62, 4304.99 
3.55, 0.07, 3.62, 4304.99 
3.53, 0.07, 3.60, 4304.99 
3.55, 0.05, 3.61, 4304.99 
3.56, 0.06, 3.63, 4304.99 
3.56, 0.08, 3.64, 4304.99 
3.57, 0.05, 3.63, 4304.99 
3.61, 0.05, 3.66, 4304.99 
3.58, 0.05, 3.64, 4304.99 
3.58, 0.07, 3.66, 4304.99 
3.60, 0.07, 3.67, 4304.99 
3.58, 0.06, 3.64, 4304.99 
3.56, 0.08, 3.64, 4304.99 
