User Time (s), System Time (s), Real Time (s), Executable Size (KB)
6.78, 0.08, 6.87, 4310.54 
6.81, 0.05, 6.87, 4310.54 
6.78, 0.06, 6.85, 4310.54 
6.78, 0.07, 6.86, 4310.54 
6.79, 0.06, 6.86, 4310.54 
6.78, 0.05, 6.84, 4310.54 
6.78, 0.06, 6.84, 4310.54 
6.86, 0.07, 6.94, 4310.54 
6.75, 0.08, 6.84, 4310.54 
6.87, 0.04, 6.92, 4310.54 
6.82, 0.07, 6.89, 4310.54 
6.77, 0.05, 6.83, 4310.54 
6.81, 0.07, 6.88, 4310.54 
6.76, 0.09, 6.86, 4310.54 
6.78, 0.07, 6.85, 4310.54 
6.82, 0.09, 6.91, 4310.54 
6.81, 0.05, 6.87, 4310.54 
6.76, 0.06, 6.83, 4310.54 
6.76, 0.08, 6.85, 4310.54 
6.79, 0.07, 6.86, 4310.54 
6.77, 0.07, 6.84, 4310.54 
6.79, 0.07, 6.87, 4310.54 
6.77, 0.05, 6.83, 4310.54 
6.79, 0.07, 6.86, 4310.54 
6.81, 0.06, 6.88, 4310.54 
6.79, 0.05, 6.85, 4310.54 
6.76, 0.06, 6.83, 4310.54 
6.80, 0.06, 6.87, 4310.54 
6.82, 0.05, 6.87, 4310.54 
6.82, 0.07, 6.90, 4310.54 
