User Time (s), System Time (s), Real Time (s), Executable Size (KB)
373.59, 0.02, 2.76, 152.09 
378.30, 0.03, 2.72, 152.09 
378.33, 0.02, 2.77, 152.09 
378.02, 0.02, 2.71, 152.09 
378.24, 0.01, 2.85, 152.09 
377.59, 0.02, 2.77, 152.09 
378.13, 0.03, 2.72, 152.09 
379.29, 0.03, 2.78, 152.09 
378.28, 0.02, 2.89, 152.09 
376.42, 0.04, 2.77, 152.09 
378.02, 0.02, 2.77, 152.09 
377.90, 0.03, 2.87, 152.09 
377.45, 0.02, 2.78, 152.09 
378.56, 0.03, 2.77, 152.09 
377.85, 0.03, 2.71, 152.09 
381.48, 0.03, 2.79, 152.09 
377.93, 0.03, 2.79, 152.09 
378.09, 0.01, 2.71, 152.09 
379.40, 0.02, 2.77, 152.09 
378.85, 0.02, 2.72, 152.09 
378.35, 0.02, 2.77, 152.09 
380.90, 0.01, 2.79, 152.09 
378.04, 0.03, 2.93, 152.09 
377.21, 0.03, 2.71, 152.09 
379.00, 0.02, 2.89, 152.09 
377.19, 0.03, 2.71, 152.09 
381.11, 0.02, 2.79, 152.09 
378.29, 0.01, 2.71, 152.09 
379.03, 0.03, 2.77, 152.09 
378.61, 0.02, 2.72, 152.09 
