User Time (s), System Time (s), Real Time (s), Executable Size (KB)
373.45, 0.03, 2.86, 152.09 
376.77, 0.04, 2.72, 152.09 
378.96, 0.03, 2.80, 152.09 
377.10, 0.03, 2.72, 152.09 
377.72, 0.03, 2.79, 152.09 
377.58, 0.03, 2.78, 152.09 
377.94, 0.02, 2.90, 152.09 
376.71, 0.03, 2.72, 152.09 
378.63, 0.00, 2.89, 152.09 
377.17, 0.03, 2.79, 152.09 
377.95, 0.02, 2.78, 152.09 
378.04, 0.04, 2.74, 152.09 
378.47, 0.03, 2.80, 152.09 
378.25, 0.03, 2.79, 152.09 
378.64, 0.02, 2.78, 152.09 
378.40, 0.02, 2.81, 152.09 
378.11, 0.04, 2.79, 152.09 
378.31, 0.02, 2.80, 152.09 
380.56, 0.03, 2.80, 152.09 
377.42, 0.03, 2.83, 152.09 
377.97, 0.02, 2.78, 152.09 
378.31, 0.03, 2.83, 152.09 
377.71, 0.05, 2.79, 152.09 
380.93, 0.02, 2.83, 152.09 
378.81, 0.01, 2.96, 152.09 
377.80, 0.03, 2.74, 152.09 
378.29, 0.03, 2.80, 152.09 
378.37, 0.02, 2.74, 152.09 
378.41, 0.02, 2.80, 152.09 
378.26, 0.05, 2.89, 152.09 
