User Time (s), System Time (s), Real Time (s), Executable Size (KB)
76.59, 0.00, 76.60, 15.77 
76.60, 0.00, 76.60, 15.77 
76.58, 0.00, 76.58, 15.77 
76.57, 0.00, 76.58, 15.77 
76.60, 0.00, 76.60, 15.77 
76.58, 0.00, 76.59, 15.77 
76.57, 0.00, 76.58, 15.77 
76.57, 0.00, 76.57, 15.77 
76.56, 0.00, 76.56, 15.77 
76.58, 0.00, 76.58, 15.77 
76.58, 0.00, 76.58, 15.77 
76.56, 0.00, 76.57, 15.77 
76.58, 0.00, 76.58, 15.77 
76.57, 0.00, 76.57, 15.77 
76.58, 0.00, 76.58, 15.77 
76.57, 0.00, 76.58, 15.77 
76.57, 0.00, 76.58, 15.77 
76.57, 0.00, 76.58, 15.77 
76.58, 0.00, 76.58, 15.77 
80.16, 0.00, 80.17, 15.77 
76.58, 0.00, 76.58, 15.77 
76.61, 0.00, 76.61, 15.77 
76.56, 0.00, 76.57, 15.77 
76.56, 0.00, 76.56, 15.77 
76.58, 0.00, 76.58, 15.77 
76.56, 0.00, 76.57, 15.77 
76.58, 0.00, 76.59, 15.77 
76.58, 0.00, 76.58, 15.77 
76.58, 0.00, 76.59, 15.77 
76.57, 0.00, 76.57, 15.77 
