User Time (s), System Time (s), Real Time (s), Executable Size (KB)
77.47, 0.00, 77.48, 15.77 
77.45, 0.00, 77.46, 15.77 
77.45, 0.00, 77.46, 15.77 
81.07, 0.00, 81.08, 15.77 
77.44, 0.00, 77.45, 15.77 
77.45, 0.00, 77.46, 15.77 
77.45, 0.00, 77.46, 15.77 
77.43, 0.00, 77.44, 15.77 
77.44, 0.00, 77.44, 15.77 
76.66, 0.00, 76.67, 15.77 
76.93, 0.00, 76.94, 15.77 
77.44, 0.00, 77.45, 15.77 
77.46, 0.00, 77.47, 15.77 
77.43, 0.00, 77.44, 15.77 
77.46, 0.00, 77.47, 15.77 
77.47, 0.00, 77.48, 15.77 
77.45, 0.00, 77.47, 15.77 
77.43, 0.00, 77.44, 15.77 
77.43, 0.00, 77.44, 15.77 
77.45, 0.00, 77.46, 15.77 
77.43, 0.00, 77.45, 15.77 
77.00, 0.00, 77.00, 15.77 
76.61, 0.00, 76.62, 15.77 
77.41, 0.00, 77.42, 15.77 
77.10, 0.00, 77.11, 15.77 
76.60, 0.00, 76.61, 15.77 
77.30, 0.00, 77.31, 15.77 
77.45, 0.00, 77.45, 15.77 
77.45, 0.00, 77.45, 15.77 
77.45, 0.00, 77.45, 15.77 
