User Time (s), System Time (s), Real Time (s), Executable Size (KB)
241.57, 1.84, 23.71, 3.94 
252.45, 1.71, 27.57, 3.94 
247.57, 2.45, 27.16, 3.94 
249.17, 1.65, 27.31, 3.94 
242.70, 1.68, 23.54, 3.94 
235.63, 1.74, 22.23, 3.94 
237.56, 1.87, 21.87, 3.94 
251.53, 1.79, 28.48, 3.94 
244.04, 1.69, 26.95, 3.94 
245.93, 1.47, 26.58, 3.94 
249.31, 2.06, 27.61, 3.94 
223.40, 2.08, 19.64, 3.94 
246.80, 2.42, 25.88, 3.94 
241.13, 1.34, 24.07, 3.94 
233.69, 1.85, 20.78, 3.94 
235.48, 2.26, 22.89, 3.94 
231.44, 2.05, 22.09, 3.94 
251.08, 2.29, 27.22, 3.94 
228.07, 2.00, 21.37, 3.94 
247.07, 2.08, 25.29, 3.94 
247.58, 1.88, 25.17, 3.94 
227.76, 1.76, 20.03, 3.94 
250.05, 2.06, 25.13, 3.94 
235.54, 1.35, 21.78, 3.94 
236.52, 1.81, 22.90, 3.94 
256.19, 2.26, 27.75, 3.94 
240.93, 1.79, 23.49, 3.94 
240.20, 1.92, 22.97, 3.94 
250.95, 1.39, 28.09, 3.94 
235.91, 2.20, 23.14, 3.94 
