User Time (s), System Time (s), Real Time (s), Executable Size (KB)
67.27, 0.00, 67.27, 16.67 
67.23, 0.00, 67.23, 16.67 
67.24, 0.00, 67.25, 16.67 
67.25, 0.00, 67.26, 16.67 
67.22, 0.00, 67.23, 16.67 
67.25, 0.00, 67.26, 16.67 
67.25, 0.00, 67.25, 16.67 
67.23, 0.00, 67.24, 16.67 
67.21, 0.00, 67.21, 16.67 
67.21, 0.00, 67.21, 16.67 
67.23, 0.00, 67.24, 16.67 
67.23, 0.00, 67.23, 16.67 
67.22, 0.00, 67.23, 16.67 
67.22, 0.00, 67.23, 16.67 
67.25, 0.00, 67.26, 16.67 
67.23, 0.00, 67.24, 16.67 
67.23, 0.00, 67.23, 16.67 
67.23, 0.00, 67.23, 16.67 
67.23, 0.00, 67.24, 16.67 
67.26, 0.00, 67.27, 16.67 
67.23, 0.00, 67.24, 16.67 
67.23, 0.00, 67.24, 16.67 
67.21, 0.00, 67.22, 16.67 
71.53, 0.00, 71.54, 16.67 
67.21, 0.00, 67.22, 16.67 
67.26, 0.00, 67.27, 16.67 
67.49, 0.00, 67.50, 16.67 
67.22, 0.00, 67.23, 16.67 
67.23, 0.00, 67.24, 16.67 
67.24, 0.00, 67.24, 16.67 
