User Time (s), System Time (s), Real Time (s), Executable Size (KB)
68.06, 0.00, 68.07, 16.67 
67.88, 0.00, 67.89, 16.67 
68.00, 0.00, 68.01, 16.67 
67.96, 0.00, 67.97, 16.67 
67.97, 0.00, 67.98, 16.67 
67.95, 0.00, 67.96, 16.67 
67.96, 0.00, 67.97, 16.67 
67.97, 0.00, 67.98, 16.67 
67.83, 0.00, 67.84, 16.67 
67.96, 0.00, 67.97, 16.67 
67.97, 0.00, 67.98, 16.67 
67.96, 0.00, 67.97, 16.67 
67.98, 0.00, 67.98, 16.67 
67.96, 0.00, 67.96, 16.67 
67.97, 0.00, 67.98, 16.67 
67.98, 0.00, 67.98, 16.67 
67.95, 0.00, 67.96, 16.67 
67.97, 0.00, 67.98, 16.67 
67.99, 0.00, 67.99, 16.67 
68.02, 0.00, 68.03, 16.67 
68.02, 0.00, 68.03, 16.67 
67.98, 0.00, 67.99, 16.67 
67.97, 0.00, 67.98, 16.67 
67.97, 0.00, 67.97, 16.67 
67.98, 0.00, 67.98, 16.67 
67.96, 0.00, 67.97, 16.67 
67.97, 0.00, 67.98, 16.67 
67.96, 0.00, 67.97, 16.67 
67.97, 0.00, 67.97, 16.67 
67.97, 0.00, 67.98, 16.67 
