User Time (s), System Time (s), Real Time (s)
35.27, 0.03, 35.20
45.12, 0.04, 45.05
44.63, 0.06, 44.59
44.74, 0.08, 44.72
36.85, 0.06, 36.81
45.13, 0.06, 45.09
35.68, 0.06, 35.64
45.02, 0.07, 44.98
45.08, 0.06, 45.03
36.83, 0.05, 36.79
44.99, 0.07, 44.96
34.94, 0.04, 34.89
36.82, 0.05, 36.78
34.88, 0.11, 34.90
35.63, 0.08, 35.62
45.07, 0.07, 45.03
36.81, 0.06, 36.79
36.75, 0.13, 36.77
44.83, 0.07, 44.79
35.20, 0.06, 35.17
45.09, 0.04, 45.03
37.38, 0.06, 37.34
45.02, 0.07, 44.99
36.93, 0.06, 36.89
36.80, 0.08, 36.78
35.70, 0.07, 35.68
45.02, 0.06, 45.00
45.10, 0.06, 45.05
36.87, 0.06, 36.83
45.06, 0.05, 45.00
