User Time (s), System Time (s), Real Time (s)
1993.23, 1.53, 13.48
1974.53, 1.78, 13.23
1983.60, 1.86, 13.09
1985.96, 1.73, 13.08
1976.04, 1.87, 13.51
1982.23, 1.66, 13.34
1985.94, 1.66, 13.59
1981.92, 1.78, 13.87
2003.10, 1.74, 13.23
1983.60, 1.88, 13.44
1997.70, 1.63, 13.35
1970.04, 1.83, 13.77
1968.13, 1.79, 13.35
1988.99, 1.69, 13.84
2001.91, 1.75, 13.86
1982.55, 1.74, 13.36
2015.29, 1.59, 13.50
1991.72, 1.69, 13.61
1993.07, 1.70, 13.42
1991.46, 1.85, 13.56
1994.69, 1.80, 13.09
2003.81, 1.73, 13.97
2001.74, 1.71, 13.81
1988.76, 1.72, 13.30
1989.96, 1.66, 13.06
2004.37, 1.91, 13.69
1998.91, 1.70, 13.72
2005.76, 1.70, 13.32
1992.40, 1.79, 13.19
2003.57, 1.93, 13.61
