User Time (s), System Time (s), Real Time (s)
1302.79, 2.49, 1305.38
1299.29, 2.65, 1302.06
1301.54, 2.57, 1304.24
1302.39, 2.67, 1305.16
1301.11, 2.53, 1303.75
1300.15, 2.70, 1302.95
1307.38, 2.73, 1310.21
1300.03, 2.53, 1302.67
1303.06, 2.63, 1305.80
1303.57, 2.50, 1306.17
1302.62, 2.44, 1305.17
1300.66, 2.70, 1303.47
1299.62, 2.45, 1302.20
1285.09, 2.67, 1287.89
1302.42, 2.69, 1305.21
1300.52, 2.68, 1303.31
1301.68, 2.76, 1304.55
1301.91, 2.52, 1304.55
1301.03, 2.66, 1303.80
1305.86, 2.62, 1308.58
1298.24, 2.43, 1300.77
1299.94, 2.65, 1302.69
1299.25, 2.66, 1302.02
1303.74, 2.45, 1306.30
1298.71, 2.54, 1301.37
1300.18, 2.59, 1302.88
1301.30, 2.55, 1303.97
1300.66, 2.84, 1303.61
1307.93, 2.62, 1310.65
1308.78, 2.57, 1311.47
