User Time (s), System Time (s), Real Time (s), Executable Size (KB)
25.53, 0.00, 25.53, 4319.11 
25.54, 0.00, 25.55, 4319.11 
25.51, 0.00, 25.51, 4319.11 
25.50, 0.00, 25.50, 4319.11 
25.50, 0.00, 25.50, 4319.11 
25.54, 0.00, 25.54, 4319.11 
25.48, 0.00, 25.49, 4319.11 
25.55, 0.00, 25.55, 4319.11 
25.56, 0.00, 25.57, 4319.11 
25.49, 0.00, 25.49, 4319.11 
25.52, 0.00, 25.52, 4319.11 
25.53, 0.00, 25.53, 4319.11 
25.52, 0.00, 25.53, 4319.11 
25.54, 0.00, 25.55, 4319.11 
25.53, 0.00, 25.54, 4319.11 
25.55, 0.00, 25.55, 4319.11 
25.54, 0.00, 25.54, 4319.11 
25.50, 0.00, 25.50, 4319.11 
25.51, 0.00, 25.51, 4319.11 
25.53, 0.00, 25.53, 4319.11 
25.51, 0.00, 25.52, 4319.11 
25.46, 0.00, 25.47, 4319.11 
25.52, 0.00, 25.52, 4319.11 
25.52, 0.00, 25.53, 4319.11 
25.54, 0.00, 25.55, 4319.11 
25.53, 0.00, 25.53, 4319.11 
25.47, 0.00, 25.48, 4319.11 
25.51, 0.00, 25.51, 4319.11 
25.48, 0.00, 25.49, 4319.11 
25.48, 0.00, 25.48, 4319.11 
