User Time (s), System Time (s), Real Time (s), Executable Size (KB)
136.82, 0.00, 136.84, 4352.12 
136.86, 0.00, 136.87, 4352.12 
136.84, 0.00, 136.85, 4352.12 
136.92, 0.00, 136.94, 4352.12 
136.87, 0.00, 136.89, 4352.12 
136.96, 0.00, 136.97, 4352.12 
136.87, 0.00, 136.89, 4352.12 
136.95, 0.00, 136.96, 4352.12 
136.88, 0.00, 136.89, 4352.12 
136.95, 0.00, 136.96, 4352.12 
136.90, 0.00, 136.92, 4352.12 
136.87, 0.00, 136.88, 4352.12 
136.97, 0.00, 136.98, 4352.12 
136.90, 0.00, 136.91, 4352.12 
136.85, 0.00, 136.86, 4352.12 
136.94, 0.00, 136.95, 4352.12 
136.94, 0.00, 136.94, 4352.12 
136.87, 0.00, 136.88, 4352.12 
136.86, 0.00, 136.87, 4352.12 
136.86, 0.00, 136.87, 4352.12 
136.84, 0.00, 136.85, 4352.12 
136.89, 0.00, 136.90, 4352.12 
136.88, 0.00, 136.89, 4352.12 
137.09, 0.00, 137.11, 4352.12 
136.85, 0.00, 136.86, 4352.12 
136.92, 0.00, 136.93, 4352.12 
136.85, 0.00, 136.86, 4352.12 
136.97, 0.00, 136.98, 4352.12 
136.88, 0.00, 136.89, 4352.12 
136.87, 0.00, 136.88, 4352.12 
