User Time (s), System Time (s), Real Time (s), Executable Size (KB)
5.25, 0.11, 5.36, 16.66 
5.49, 0.13, 5.64, 16.66 
5.27, 0.08, 5.36, 16.66 
5.27, 0.09, 5.37, 16.66 
5.25, 0.10, 5.36, 16.66 
5.67, 0.05, 5.73, 16.66 
5.26, 0.09, 5.35, 16.66 
5.24, 0.11, 5.36, 16.66 
5.28, 0.07, 5.36, 16.66 
5.29, 0.08, 5.37, 16.66 
5.24, 0.11, 5.36, 16.66 
5.33, 0.09, 5.42, 16.66 
5.25, 0.10, 5.36, 16.66 
5.28, 0.07, 5.36, 16.66 
5.28, 0.07, 5.36, 16.66 
5.26, 0.10, 5.36, 16.66 
5.30, 0.06, 5.36, 16.66 
5.25, 0.09, 5.36, 16.66 
5.27, 0.08, 5.36, 16.66 
5.26, 0.10, 5.37, 16.66 
5.28, 0.09, 5.37, 16.66 
5.25, 0.10, 5.36, 16.66 
5.25, 0.10, 5.36, 16.66 
5.32, 0.10, 5.43, 16.66 
5.24, 0.11, 5.36, 16.66 
5.28, 0.06, 5.35, 16.66 
5.28, 0.07, 5.36, 16.66 
5.81, 0.13, 5.95, 16.66 
5.26, 0.10, 5.36, 16.66 
5.21, 0.14, 5.36, 16.66 
