User Time (s), System Time (s), Real Time (s), Executable Size (KB)
0.92, 0.10, 1.02, 16.34 
0.90, 0.10, 1.00, 16.34 
0.92, 0.08, 1.00, 16.34 
0.90, 0.09, 1.00, 16.34 
0.88, 0.11, 1.00, 16.34 
0.92, 0.08, 1.00, 16.34 
0.90, 0.10, 1.00, 16.34 
0.92, 0.07, 1.00, 16.34 
0.92, 0.07, 1.00, 16.34 
0.90, 0.09, 1.00, 16.34 
0.89, 0.10, 1.00, 16.34 
0.89, 0.10, 1.00, 16.34 
0.92, 0.07, 1.00, 16.34 
0.91, 0.09, 1.00, 16.34 
0.91, 0.09, 1.00, 16.34 
0.93, 0.07, 1.00, 16.34 
0.90, 0.09, 1.00, 16.34 
0.88, 0.12, 1.00, 16.34 
0.89, 0.11, 1.00, 16.34 
0.90, 0.09, 1.00, 16.34 
0.92, 0.07, 1.00, 16.34 
0.89, 0.10, 1.00, 16.34 
0.92, 0.07, 1.00, 16.34 
0.91, 0.09, 1.00, 16.34 
0.92, 0.07, 1.00, 16.34 
0.91, 0.09, 1.00, 16.34 
0.94, 0.06, 1.00, 16.34 
0.91, 0.09, 1.00, 16.34 
0.90, 0.09, 0.99, 16.34 
0.91, 0.09, 1.00, 16.34 
