User Time (s), System Time (s), Real Time (s), Executable Size (KB)
0.95, 0.09, 1.06, 16.34 
0.93, 0.10, 1.04, 16.34 
0.92, 0.11, 1.04, 16.34 
0.95, 0.09, 1.04, 16.34 
0.96, 0.08, 1.04, 16.34 
0.93, 0.11, 1.05, 16.34 
0.95, 0.09, 1.04, 16.34 
0.95, 0.08, 1.04, 16.34 
0.94, 0.10, 1.04, 16.34 
0.96, 0.08, 1.04, 16.34 
0.92, 0.12, 1.04, 16.34 
0.97, 0.07, 1.04, 16.34 
0.94, 0.09, 1.04, 16.34 
0.97, 0.07, 1.04, 16.34 
1.00, 0.07, 1.07, 16.34 
0.97, 0.06, 1.04, 16.34 
0.95, 0.09, 1.04, 16.34 
0.97, 0.07, 1.04, 16.34 
0.96, 0.08, 1.04, 16.34 
0.94, 0.10, 1.04, 16.34 
0.94, 0.10, 1.04, 16.34 
0.94, 0.10, 1.04, 16.34 
0.94, 0.10, 1.04, 16.34 
0.94, 0.10, 1.04, 16.34 
0.98, 0.06, 1.04, 16.34 
0.93, 0.11, 1.04, 16.34 
0.95, 0.09, 1.04, 16.34 
0.95, 0.09, 1.04, 16.34 
0.93, 0.11, 1.04, 16.34 
0.95, 0.08, 1.04, 16.34 
