User Time (s), System Time (s), Real Time (s), Executable Size (KB)
44.43, 14.96, 36.00, 2.81 
47.55, 16.75, 38.74, 2.81 
54.47, 20.08, 43.96, 2.81 
48.25, 16.04, 38.56, 2.81 
48.52, 15.97, 39.37, 2.81 
49.50, 16.69, 39.16, 2.81 
42.84, 14.38, 34.36, 2.81 
46.62, 14.23, 36.35, 2.81 
43.06, 14.41, 34.80, 2.81 
42.70, 14.65, 34.40, 2.81 
42.23, 14.54, 34.24, 2.81 
42.53, 14.59, 34.59, 2.81 
47.21, 15.67, 37.82, 2.81 
53.87, 19.83, 43.15, 2.81 
48.00, 15.37, 38.38, 2.81 
43.94, 13.69, 35.06, 2.81 
42.83, 13.99, 34.35, 2.81 
50.64, 17.55, 40.84, 2.81 
49.37, 17.44, 39.46, 2.81 
49.70, 17.61, 40.35, 2.81 
43.24, 14.60, 35.03, 2.81 
53.41, 18.52, 42.30, 2.81 
47.62, 16.26, 38.58, 2.81 
53.13, 18.17, 42.47, 2.81 
51.38, 17.49, 40.36, 2.81 
44.77, 13.99, 35.63, 2.81 
42.88, 14.08, 34.43, 2.81 
42.62, 14.04, 34.34, 2.81 
42.32, 14.80, 34.75, 2.81 
42.25, 13.78, 34.42, 2.81 
