User Time (s), System Time (s), Real Time (s), Executable Size (KB)
8.59, 2.76, 11.35, 20.41 
8.43, 2.82, 11.26, 20.41 
8.46, 2.83, 11.30, 20.41 
8.56, 2.65, 11.23, 20.41 
8.45, 2.88, 11.34, 20.41 
8.45, 2.79, 11.24, 20.41 
8.53, 2.78, 11.31, 20.41 
8.42, 2.78, 11.21, 20.41 
8.48, 2.82, 11.30, 20.41 
8.56, 2.86, 11.43, 20.41 
8.69, 2.56, 11.26, 20.41 
8.38, 2.92, 11.30, 20.41 
8.95, 2.78, 11.73, 20.41 
8.45, 2.80, 11.25, 20.41 
8.69, 2.83, 11.52, 20.41 
8.36, 2.87, 11.24, 20.41 
8.63, 2.73, 11.37, 20.41 
8.44, 2.81, 11.25, 20.41 
8.59, 2.69, 11.29, 20.41 
8.50, 2.81, 11.32, 20.41 
8.23, 3.05, 11.28, 20.41 
8.56, 2.65, 11.21, 20.41 
8.46, 2.80, 11.27, 20.41 
9.05, 2.74, 11.79, 20.41 
8.33, 2.92, 11.25, 20.41 
8.44, 2.82, 11.27, 20.41 
8.39, 2.86, 11.26, 20.41 
8.48, 2.94, 11.43, 20.41 
8.52, 2.75, 11.27, 20.41 
8.49, 2.77, 11.26, 20.41 
