User Time (s), System Time (s), Real Time (s), Executable Size (KB)
8.96, 2.76, 11.72, 20.41 
8.87, 2.87, 11.75, 20.41 
8.96, 2.78, 11.75, 20.41 
8.97, 2.74, 11.71, 20.41 
8.86, 2.92, 11.80, 20.41 
8.89, 2.89, 11.78, 20.41 
8.87, 2.90, 11.78, 20.41 
8.73, 2.95, 11.68, 20.41 
8.89, 2.94, 11.84, 20.41 
8.90, 2.77, 11.68, 20.41 
8.81, 2.97, 11.79, 20.41 
8.84, 2.84, 11.69, 20.41 
8.83, 3.04, 11.87, 20.41 
8.98, 2.69, 11.68, 20.41 
9.00, 2.78, 11.78, 20.41 
8.65, 3.08, 11.74, 20.41 
8.79, 2.83, 11.62, 20.41 
9.05, 2.57, 11.63, 20.41 
8.93, 2.66, 11.60, 20.41 
8.80, 2.76, 11.57, 20.41 
8.96, 2.69, 11.66, 20.41 
8.84, 2.90, 11.74, 20.41 
8.77, 2.92, 11.70, 20.41 
8.75, 3.01, 11.77, 20.41 
8.87, 2.85, 11.72, 20.41 
8.65, 2.83, 11.49, 20.41 
8.72, 2.62, 11.35, 20.41 
8.44, 2.96, 11.40, 20.41 
8.66, 2.74, 11.41, 20.41 
8.55, 2.88, 11.44, 20.41 
