User Time (s), System Time (s), Real Time (s)
3.74, 0.32, 3.90
3.80, 0.39, 4.05
3.78, 0.39, 4.02
3.75, 0.31, 3.90
3.70, 0.25, 3.84
3.76, 0.34, 3.95
4.00, 0.26, 4.12
3.94, 0.33, 4.12
3.86, 0.33, 4.05
3.87, 0.40, 4.12
4.07, 0.21, 4.14
3.87, 0.28, 4.00
3.97, 0.34, 4.16
3.86, 0.36, 4.07
4.06, 0.26, 4.16
3.85, 0.36, 4.07
3.98, 0.32, 4.16
3.74, 0.32, 3.94
3.74, 0.35, 3.95
3.92, 0.37, 4.13
3.87, 0.32, 4.06
3.84, 0.32, 4.02
3.84, 0.32, 4.03
3.70, 0.32, 3.91
3.80, 0.34, 4.00
3.94, 0.34, 4.13
4.01, 0.26, 4.12
3.84, 0.34, 4.02
4.05, 0.26, 4.16
3.86, 0.32, 4.06
