User Time (s), System Time (s), Real Time (s)
45.59, 0.07, 45.66
45.59, 0.08, 45.68
43.71, 0.05, 43.77
45.87, 0.05, 45.93
45.76, 0.03, 45.80
43.38, 0.05, 43.44
45.68, 0.06, 45.75
45.61, 0.07, 45.70
46.10, 0.05, 46.15
45.63, 0.05, 45.69
45.32, 0.06, 45.39
45.74, 0.07, 45.82
45.66, 0.09, 45.76
44.79, 0.04, 44.84
45.34, 0.05, 45.40
45.75, 0.03, 45.80
45.77, 0.06, 45.85
45.66, 0.06, 45.74
45.38, 0.04, 45.43
45.32, 0.05, 45.38
45.58, 0.09, 45.68
45.48, 0.07, 45.56
45.09, 0.05, 45.15
45.76, 0.08, 45.85
45.90, 0.03, 45.95
45.54, 0.06, 45.61
45.92, 0.05, 45.98
45.77, 0.04, 45.82
45.61, 0.03, 45.65
45.82, 0.05, 45.88
