User Time (s), System Time (s), Real Time (s)
85.44, 0.37, 85.87
85.21, 0.34, 85.60
85.01, 0.35, 85.41
85.40, 0.35, 85.81
85.10, 0.45, 85.60
85.11, 0.41, 85.57
85.13, 0.36, 85.54
84.93, 0.45, 85.43
85.05, 0.37, 85.47
85.12, 0.37, 85.54
85.68, 0.34, 86.08
85.03, 0.41, 85.48
85.31, 0.43, 85.80
84.91, 0.36, 85.32
84.82, 0.44, 85.31
85.23, 0.44, 85.72
85.47, 0.41, 85.93
85.01, 0.41, 85.48
85.30, 0.34, 85.69
85.33, 0.32, 85.70
85.16, 0.40, 85.61
85.15, 0.33, 85.53
85.25, 0.41, 85.70
85.20, 0.38, 85.63
85.10, 0.35, 85.50
85.01, 0.48, 85.54
85.08, 0.42, 85.54
85.17, 0.36, 85.58
85.23, 0.42, 85.71
82.36, 0.45, 82.86
