User Time (s), System Time (s), Real Time (s), Executable Size (KB)
3.70, 2.55, 6.26, 4314.33 
3.73, 2.47, 6.22, 4314.33 
3.73, 2.44, 6.18, 4314.33 
3.75, 2.47, 6.23, 4314.33 
3.69, 2.58, 6.28, 4314.33 
3.67, 2.51, 6.20, 4314.33 
3.61, 2.59, 6.21, 4314.33 
3.71, 2.46, 6.18, 4314.33 
3.82, 2.40, 6.24, 4314.33 
3.70, 2.50, 6.21, 4314.33 
3.66, 2.56, 6.23, 4314.33 
3.74, 2.58, 6.33, 4314.33 
3.76, 2.44, 6.21, 4314.33 
3.75, 2.47, 6.23, 4314.33 
3.67, 2.53, 6.21, 4314.33 
3.60, 2.62, 6.23, 4314.33 
3.69, 2.51, 6.21, 4314.33 
3.78, 2.41, 6.20, 4314.33 
3.66, 2.52, 6.19, 4314.33 
3.80, 2.50, 6.32, 4314.33 
3.66, 2.57, 6.24, 4314.33 
3.69, 2.52, 6.22, 4314.33 
3.73, 2.60, 6.33, 4314.33 
3.74, 2.47, 6.22, 4314.33 
3.69, 2.56, 6.25, 4314.33 
3.69, 2.51, 6.21, 4314.33 
3.82, 2.38, 6.21, 4314.33 
3.74, 2.56, 6.31, 4314.33 
3.66, 2.39, 6.06, 4314.33 
3.77, 2.47, 6.25, 4314.33 
