User Time (s), System Time (s), Real Time (s), Executable Size (KB)
17.32, 4.01, 21.34, 4357.34 
17.54, 3.86, 21.41, 4357.34 
17.25, 4.06, 21.32, 4357.34 
17.16, 4.16, 21.33, 4357.34 
17.36, 3.98, 21.34, 4357.34 
17.41, 3.85, 21.27, 4357.34 
17.55, 3.87, 21.43, 4357.34 
17.43, 3.90, 21.34, 4357.34 
17.49, 3.81, 21.31, 4357.34 
17.55, 3.79, 21.34, 4357.34 
17.41, 3.92, 21.34, 4357.34 
17.55, 3.75, 21.31, 4357.34 
17.40, 4.22, 21.63, 4357.34 
17.55, 3.77, 21.33, 4357.34 
17.30, 4.07, 21.38, 4357.34 
17.57, 3.75, 21.33, 4357.34 
17.69, 3.64, 21.34, 4357.34 
17.39, 3.87, 21.27, 4357.34 
17.45, 3.97, 21.43, 4357.34 
17.28, 3.94, 21.23, 4357.34 
17.21, 4.08, 21.29, 4357.34 
17.35, 3.95, 21.31, 4357.34 
17.43, 3.81, 21.24, 4357.34 
17.48, 4.08, 21.57, 4357.34 
17.52, 3.97, 21.49, 4357.34 
17.25, 4.00, 21.26, 4357.34 
17.45, 3.89, 21.35, 4357.34 
17.48, 3.99, 21.48, 4357.34 
17.39, 4.12, 21.51, 4357.34 
17.37, 4.25, 21.63, 4357.34 
