User Time (s), System Time (s), Real Time (s), Executable Size (KB)
8.38, 0.00, 8.38, 16.25 
8.38, 0.00, 8.38, 16.25 
8.37, 0.00, 8.38, 16.25 
8.38, 0.00, 8.38, 16.25 
8.38, 0.00, 8.38, 16.25 
8.37, 0.00, 8.38, 16.25 
8.38, 0.00, 8.38, 16.25 
8.38, 0.00, 8.38, 16.25 
8.37, 0.00, 8.37, 16.25 
8.38, 0.00, 8.38, 16.25 
8.38, 0.00, 8.38, 16.25 
8.37, 0.00, 8.38, 16.25 
8.38, 0.00, 8.38, 16.25 
8.37, 0.00, 8.38, 16.25 
8.37, 0.00, 8.38, 16.25 
8.38, 0.00, 8.38, 16.25 
8.37, 0.00, 8.38, 16.25 
8.37, 0.00, 8.38, 16.25 
8.37, 0.00, 8.38, 16.25 
8.37, 0.00, 8.38, 16.25 
8.38, 0.00, 8.38, 16.25 
8.39, 0.00, 8.39, 16.25 
8.37, 0.00, 8.37, 16.25 
8.36, 0.00, 8.36, 16.25 
8.38, 0.00, 8.39, 16.25 
8.39, 0.00, 8.39, 16.25 
8.37, 0.00, 8.38, 16.25 
8.37, 0.00, 8.37, 16.25 
8.38, 0.00, 8.38, 16.25 
8.39, 0.00, 8.39, 16.25 
