User Time (s), System Time (s), Real Time (s), Executable Size (KB)
8.47, 0.00, 8.47, 16.25 
8.48, 0.00, 8.48, 16.25 
8.49, 0.00, 8.49, 16.25 
8.47, 0.00, 8.47, 16.25 
8.48, 0.00, 8.48, 16.25 
8.47, 0.00, 8.48, 16.25 
8.47, 0.00, 8.47, 16.25 
8.47, 0.00, 8.48, 16.25 
8.47, 0.00, 8.47, 16.25 
8.47, 0.00, 8.47, 16.25 
8.47, 0.00, 8.47, 16.25 
8.47, 0.00, 8.47, 16.25 
8.47, 0.00, 8.48, 16.25 
8.46, 0.00, 8.46, 16.25 
8.47, 0.00, 8.47, 16.25 
8.47, 0.00, 8.47, 16.25 
8.47, 0.00, 8.48, 16.25 
8.47, 0.00, 8.47, 16.25 
8.46, 0.00, 8.46, 16.25 
8.47, 0.00, 8.48, 16.25 
8.47, 0.00, 8.48, 16.25 
8.46, 0.00, 8.46, 16.25 
8.46, 0.00, 8.46, 16.25 
8.48, 0.00, 8.48, 16.25 
8.47, 0.00, 8.47, 16.25 
8.47, 0.00, 8.47, 16.25 
8.47, 0.00, 8.47, 16.25 
8.47, 0.00, 8.48, 16.25 
8.47, 0.00, 8.47, 16.25 
8.46, 0.00, 8.46, 16.25 
