User Time (s), System Time (s), Real Time (s), Executable Size (KB)
8.67, 0.00, 8.67, 15.62 
8.66, 0.00, 8.67, 15.62 
8.66, 0.00, 8.66, 15.62 
8.67, 0.00, 8.67, 15.62 
8.67, 0.00, 8.67, 15.62 
8.66, 0.00, 8.66, 15.62 
8.67, 0.00, 8.67, 15.62 
8.67, 0.00, 8.68, 15.62 
8.66, 0.00, 8.66, 15.62 
8.67, 0.00, 8.67, 15.62 
8.67, 0.00, 8.67, 15.62 
8.66, 0.00, 8.66, 15.62 
8.67, 0.00, 8.68, 15.62 
8.67, 0.00, 8.67, 15.62 
8.73, 0.00, 8.73, 15.62 
8.67, 0.00, 8.67, 15.62 
8.67, 0.00, 8.67, 15.62 
8.66, 0.00, 8.66, 15.62 
8.67, 0.00, 8.67, 15.62 
8.67, 0.00, 8.67, 15.62 
8.67, 0.00, 8.68, 15.62 
8.67, 0.00, 8.67, 15.62 
8.67, 0.00, 8.67, 15.62 
8.68, 0.00, 8.68, 15.62 
8.66, 0.00, 8.66, 15.62 
8.67, 0.00, 8.68, 15.62 
8.67, 0.00, 8.67, 15.62 
8.68, 0.00, 8.68, 15.62 
8.67, 0.00, 8.67, 15.62 
8.67, 0.00, 8.67, 15.62 
