User Time (s), System Time (s), Real Time (s), Executable Size (KB)
8.57, 0.00, 8.57, 15.62 
8.58, 0.00, 8.58, 15.62 
8.60, 0.00, 8.60, 15.62 
8.58, 0.00, 8.58, 15.62 
8.57, 0.00, 8.58, 15.62 
8.57, 0.00, 8.57, 15.62 
8.57, 0.00, 8.58, 15.62 
8.59, 0.00, 8.59, 15.62 
8.57, 0.00, 8.58, 15.62 
8.57, 0.00, 8.57, 15.62 
8.58, 0.00, 8.58, 15.62 
8.57, 0.00, 8.57, 15.62 
8.57, 0.00, 8.58, 15.62 
8.56, 0.00, 8.56, 15.62 
8.57, 0.00, 8.57, 15.62 
8.57, 0.00, 8.58, 15.62 
8.57, 0.00, 8.57, 15.62 
8.57, 0.00, 8.57, 15.62 
8.57, 0.00, 8.58, 15.62 
8.57, 0.00, 8.57, 15.62 
8.56, 0.00, 8.56, 15.62 
8.57, 0.00, 8.57, 15.62 
8.57, 0.00, 8.57, 15.62 
8.56, 0.00, 8.56, 15.62 
8.57, 0.00, 8.57, 15.62 
8.57, 0.00, 8.57, 15.62 
8.56, 0.00, 8.56, 15.62 
8.57, 0.00, 8.57, 15.62 
8.57, 0.00, 8.57, 15.62 
8.57, 0.00, 8.57, 15.62 
