User Time (s), System Time (s), Real Time (s), Executable Size (KB)
8.54, 0.00, 8.54, 15.62 
8.59, 0.00, 8.59, 15.62 
8.21, 0.01, 8.25, 15.62 
8.53, 0.00, 8.53, 15.62 
8.07, 0.00, 8.07, 15.62 
8.77, 0.00, 8.78, 15.62 
7.85, 0.00, 7.86, 15.62 
7.69, 0.00, 7.70, 15.62 
7.89, 0.00, 7.89, 15.62 
7.83, 0.00, 7.83, 15.62 
7.77, 0.00, 7.77, 15.62 
7.61, 0.00, 7.63, 15.62 
7.77, 0.00, 7.77, 15.62 
7.75, 0.00, 7.75, 15.62 
7.72, 0.00, 7.74, 15.62 
7.81, 0.00, 7.81, 15.62 
7.67, 0.00, 7.68, 15.62 
7.80, 0.00, 7.80, 15.62 
7.63, 0.00, 7.64, 15.62 
7.80, 0.00, 7.80, 15.62 
7.64, 0.00, 7.66, 15.62 
7.78, 0.00, 7.79, 15.62 
7.74, 0.00, 7.75, 15.62 
7.67, 0.00, 7.68, 15.62 
7.81, 0.00, 7.81, 15.62 
7.79, 0.00, 7.79, 15.62 
10.43, 0.00, 10.44, 15.62 
20.19, 0.00, 20.20, 15.62 
20.98, 0.00, 20.98, 15.62 
20.48, 0.00, 20.48, 15.62 
