User Time (s), System Time (s), Real Time (s), Executable Size (KB)
16.56, 2.28, 15.93, 1.05 
17.82, 1.14, 16.37, 1.05 
16.61, 1.48, 15.93, 1.05 
16.87, 1.70, 16.08, 1.05 
16.72, 2.00, 15.91, 1.05 
16.96, 1.80, 16.09, 1.05 
16.88, 1.83, 16.06, 1.05 
16.76, 2.05, 15.93, 1.05 
16.83, 1.65, 16.06, 1.05 
17.11, 1.39, 15.92, 1.05 
16.60, 2.32, 16.06, 1.05 
16.68, 2.53, 16.20, 1.05 
16.68, 2.14, 15.93, 1.05 
16.30, 2.57, 15.94, 1.05 
17.00, 2.50, 16.43, 1.05 
16.21, 2.63, 15.95, 1.05 
16.95, 2.49, 16.10, 1.05 
16.86, 2.37, 16.11, 1.05 
16.48, 2.36, 15.92, 1.05 
16.83, 2.02, 15.94, 1.05 
16.82, 1.82, 16.12, 1.05 
16.56, 2.22, 15.95, 1.05 
16.58, 1.94, 16.10, 1.05 
16.54, 2.04, 15.91, 1.05 
16.85, 2.02, 15.96, 1.05 
17.25, 1.49, 15.93, 1.05 
16.77, 2.02, 15.93, 1.05 
16.77, 2.09, 15.93, 1.05 
17.20, 1.84, 15.92, 1.05 
16.38, 2.23, 15.95, 1.05 
