User Time (s), System Time (s), Real Time (s), Executable Size (KB)
10.09, 0.00, 10.09, 16.05 
10.08, 0.00, 10.08, 16.05 
10.08, 0.00, 10.08, 16.05 
10.08, 0.00, 10.08, 16.05 
10.08, 0.00, 10.08, 16.05 
10.08, 0.00, 10.08, 16.05 
10.07, 0.00, 10.07, 16.05 
10.09, 0.00, 10.09, 16.05 
10.08, 0.00, 10.08, 16.05 
10.08, 0.00, 10.08, 16.05 
10.08, 0.00, 10.08, 16.05 
10.07, 0.00, 10.07, 16.05 
10.09, 0.00, 10.09, 16.05 
10.08, 0.00, 10.08, 16.05 
10.08, 0.00, 10.08, 16.05 
10.08, 0.00, 10.08, 16.05 
10.07, 0.00, 10.07, 16.05 
10.08, 0.00, 10.08, 16.05 
10.08, 0.00, 10.08, 16.05 
10.17, 0.00, 10.18, 16.05 
10.10, 0.00, 10.10, 16.05 
10.08, 0.00, 10.08, 16.05 
10.07, 0.00, 10.08, 16.05 
10.08, 0.00, 10.08, 16.05 
10.08, 0.00, 10.08, 16.05 
10.07, 0.00, 10.07, 16.05 
10.08, 0.00, 10.08, 16.05 
10.08, 0.00, 10.09, 16.05 
10.08, 0.00, 10.09, 16.05 
10.09, 0.00, 10.09, 16.05 
