User Time (s), System Time (s), Real Time (s)
4.38, 0.03, 4.38
4.36, 0.04, 4.39
4.37, 0.04, 4.38
4.37, 0.04, 4.38
4.37, 0.04, 4.38
4.30, 0.05, 4.33
4.37, 0.04, 4.38
4.38, 0.03, 4.38
4.35, 0.06, 4.40
4.37, 0.04, 4.40
4.37, 0.05, 4.39
4.36, 0.05, 4.39
4.37, 0.04, 4.40
4.32, 0.09, 4.38
4.40, 0.03, 4.40
4.38, 0.05, 4.40
4.38, 0.03, 4.39
4.33, 0.09, 4.40
4.38, 0.04, 4.39
4.38, 0.04, 4.40
4.37, 0.06, 4.40
4.36, 0.06, 4.39
4.37, 0.05, 4.40
4.38, 0.04, 4.39
4.37, 0.05, 4.39
4.36, 0.05, 4.40
4.37, 0.05, 4.39
4.38, 0.04, 4.39
4.38, 0.04, 4.39
4.37, 0.04, 4.38
