User Time (s), System Time (s), Real Time (s)
176.10, 0.00, 176.13
172.54, 0.00, 172.56
172.29, 0.00, 172.31
174.21, 0.00, 174.23
173.14, 0.00, 173.16
171.77, 0.01, 171.79
172.80, 0.01, 172.83
173.17, 0.00, 173.19
173.28, 0.01, 173.31
173.29, 0.00, 173.31
173.80, 0.00, 173.82
173.13, 0.01, 173.16
173.18, 0.01, 173.21
173.83, 0.00, 173.85
173.06, 0.00, 173.08
173.52, 0.00, 173.53
173.08, 0.00, 173.10
173.45, 0.01, 173.48
172.90, 0.00, 172.92
171.39, 0.00, 171.41
174.03, 0.00, 174.05
172.90, 0.01, 172.93
175.27, 0.00, 175.29
172.76, 0.00, 172.78
172.80, 0.00, 172.82
172.94, 0.00, 172.96
172.70, 0.00, 172.72
172.46, 0.00, 172.48
172.68, 0.00, 172.69
172.87, 0.00, 172.88
