User Time (s), System Time (s), Real Time (s), Executable Size (KB)
10.74, 0.00, 10.74, 4304.96 
10.93, 0.00, 10.94, 4304.96 
10.60, 0.00, 10.61, 4304.96 
11.09, 0.06, 11.19, 4304.96 
10.81, 0.00, 10.82, 4304.96 
10.47, 0.00, 10.47, 4304.96 
10.49, 0.00, 10.49, 4304.96 
10.87, 0.00, 10.87, 4304.96 
10.79, 0.00, 10.80, 4304.96 
10.88, 0.07, 11.01, 4304.96 
10.64, 0.00, 10.67, 4304.96 
10.80, 0.00, 10.80, 4304.96 
10.96, 0.03, 11.04, 4304.96 
11.08, 0.04, 11.15, 4304.96 
10.78, 0.00, 10.79, 4304.96 
11.09, 0.00, 11.09, 4304.96 
10.76, 0.00, 10.76, 4304.96 
10.71, 0.00, 10.73, 4304.96 
10.73, 0.00, 10.74, 4304.96 
10.54, 0.00, 10.58, 4304.96 
10.67, 0.00, 10.67, 4304.96 
10.93, 0.12, 11.15, 4304.96 
10.61, 0.00, 10.61, 4304.96 
10.67, 0.00, 10.67, 4304.96 
10.94, 0.00, 10.94, 4304.96 
10.76, 0.00, 10.77, 4304.96 
10.84, 0.00, 10.84, 4304.96 
10.88, 0.00, 10.88, 4304.96 
10.57, 0.00, 10.57, 4304.96 
10.65, 0.00, 10.65, 4304.96 
