User Time (s), System Time (s), Real Time (s), Executable Size (KB)
4.25, 0.00, 4.25, 4304.50 
4.24, 0.00, 4.25, 4304.50 
4.23, 0.00, 4.23, 4304.50 
4.23, 0.00, 4.23, 4304.50 
4.24, 0.00, 4.24, 4304.50 
4.25, 0.00, 4.25, 4304.50 
4.25, 0.00, 4.25, 4304.50 
4.24, 0.00, 4.25, 4304.50 
4.24, 0.00, 4.24, 4304.50 
4.24, 0.00, 4.24, 4304.50 
4.24, 0.00, 4.25, 4304.50 
4.24, 0.00, 4.25, 4304.50 
4.23, 0.00, 4.23, 4304.50 
4.23, 0.00, 4.23, 4304.50 
4.23, 0.00, 4.23, 4304.50 
4.24, 0.00, 4.25, 4304.50 
4.25, 0.00, 4.25, 4304.50 
4.23, 0.00, 4.23, 4304.50 
4.23, 0.00, 4.24, 4304.50 
4.25, 0.00, 4.25, 4304.50 
4.24, 0.00, 4.25, 4304.50 
4.24, 0.00, 4.25, 4304.50 
4.24, 0.00, 4.24, 4304.50 
4.24, 0.00, 4.24, 4304.50 
4.25, 0.00, 4.25, 4304.50 
4.24, 0.00, 4.25, 4304.50 
4.24, 0.00, 4.25, 4304.50 
4.24, 0.00, 4.25, 4304.50 
4.24, 0.00, 4.25, 4304.50 
4.24, 0.00, 4.25, 4304.50 
