User Time (s), System Time (s), Real Time (s), Executable Size (KB)
12.30, 0.00, 12.30, 4304.95 
12.30, 0.00, 12.31, 4304.95 
12.29, 0.00, 12.29, 4304.95 
12.30, 0.00, 12.31, 4304.95 
12.29, 0.00, 12.30, 4304.95 
12.29, 0.00, 12.29, 4304.95 
12.29, 0.00, 12.29, 4304.95 
12.29, 0.00, 12.29, 4304.95 
12.28, 0.00, 12.28, 4304.95 
12.30, 0.00, 12.30, 4304.95 
12.31, 0.00, 12.31, 4304.95 
12.29, 0.00, 12.29, 4304.95 
12.31, 0.00, 12.31, 4304.95 
12.29, 0.00, 12.30, 4304.95 
12.29, 0.00, 12.29, 4304.95 
12.30, 0.00, 12.30, 4304.95 
12.30, 0.00, 12.31, 4304.95 
12.29, 0.00, 12.29, 4304.95 
12.28, 0.00, 12.29, 4304.95 
12.29, 0.00, 12.30, 4304.95 
12.31, 0.00, 12.31, 4304.95 
12.30, 0.00, 12.30, 4304.95 
12.30, 0.00, 12.30, 4304.95 
12.30, 0.00, 12.30, 4304.95 
12.30, 0.00, 12.30, 4304.95 
12.32, 0.00, 12.32, 4304.95 
12.29, 0.00, 12.30, 4304.95 
12.31, 0.00, 12.31, 4304.95 
12.29, 0.00, 12.29, 4304.95 
12.30, 0.00, 12.30, 4304.95 
