User Time (s), System Time (s), Real Time (s), Executable Size (KB)
5.66, 0.00, 5.66, 4304.50 
5.17, 0.00, 5.17, 4304.50 
5.72, 0.00, 5.73, 4304.50 
4.81, 0.00, 4.81, 4304.50 
5.30, 0.00, 5.31, 4304.50 
5.06, 0.00, 5.06, 4304.50 
4.98, 0.00, 4.98, 4304.50 
4.96, 0.00, 4.96, 4304.50 
5.00, 0.00, 5.00, 4304.50 
5.43, 0.00, 5.43, 4304.50 
5.57, 0.00, 5.57, 4304.50 
5.33, 0.00, 5.33, 4304.50 
5.02, 0.00, 5.03, 4304.50 
7.05, 0.00, 7.06, 4304.50 
4.99, 0.00, 4.99, 4304.50 
4.93, 0.00, 4.94, 4304.50 
5.47, 0.00, 5.47, 4304.50 
5.47, 0.00, 5.47, 4304.50 
4.97, 0.00, 4.97, 4304.50 
4.88, 0.00, 4.88, 4304.50 
5.09, 0.00, 5.09, 4304.50 
6.70, 0.00, 6.70, 4304.50 
5.73, 0.00, 5.73, 4304.50 
5.56, 0.00, 5.57, 4304.50 
5.57, 0.00, 5.57, 4304.50 
5.57, 0.00, 5.57, 4304.50 
5.57, 0.00, 5.57, 4304.50 
5.57, 0.00, 5.57, 4304.50 
5.55, 0.00, 5.56, 4304.50 
4.97, 0.00, 4.97, 4304.50 
