User Time (s), System Time (s), Real Time (s), Executable Size (KB)
63.69, 0.00, 63.70, 413.66 
63.68, 0.00, 63.69, 413.66 
63.69, 0.00, 63.70, 413.66 
63.70, 0.00, 63.71, 413.66 
63.71, 0.00, 63.72, 413.66 
63.69, 0.00, 63.70, 413.66 
63.69, 0.00, 63.70, 413.66 
63.71, 0.00, 63.72, 413.66 
63.71, 0.00, 63.72, 413.66 
63.69, 0.00, 63.70, 413.66 
63.70, 0.00, 63.71, 413.66 
63.69, 0.00, 63.71, 413.66 
63.70, 0.00, 63.71, 413.66 
63.71, 0.00, 63.72, 413.66 
63.70, 0.00, 63.70, 413.66 
63.71, 0.00, 63.71, 413.66 
63.70, 0.00, 63.70, 413.66 
63.70, 0.00, 63.71, 413.66 
63.70, 0.00, 63.71, 413.66 
63.69, 0.00, 63.70, 413.66 
63.68, 0.00, 63.69, 413.66 
63.71, 0.00, 63.71, 413.66 
63.70, 0.00, 63.70, 413.66 
63.71, 0.00, 63.71, 413.66 
63.70, 0.00, 63.71, 413.66 
63.70, 0.00, 63.71, 413.66 
63.70, 0.00, 63.71, 413.66 
63.70, 0.00, 63.70, 413.66 
63.71, 0.00, 63.72, 413.66 
63.71, 0.00, 63.72, 413.66 
