User Time (s), System Time (s), Real Time (s), Executable Size (KB)
63.71, 0.00, 63.72, 413.66 
63.79, 0.00, 63.80, 413.66 
63.74, 0.00, 63.74, 413.66 
63.69, 0.00, 63.69, 413.66 
63.71, 0.00, 63.72, 413.66 
63.70, 0.00, 63.71, 413.66 
63.69, 0.00, 63.69, 413.66 
63.69, 0.00, 63.69, 413.66 
63.71, 0.00, 63.72, 413.66 
63.69, 0.00, 63.70, 413.66 
63.70, 0.00, 63.71, 413.66 
63.71, 0.01, 63.73, 413.66 
63.75, 0.00, 63.76, 413.66 
63.76, 0.00, 63.77, 413.66 
63.75, 0.00, 63.76, 413.66 
63.77, 0.00, 63.77, 413.66 
67.68, 0.00, 67.69, 413.66 
77.37, 0.01, 77.39, 413.66 
86.69, 0.00, 86.71, 413.66 
81.72, 0.00, 81.73, 413.66 
82.39, 0.00, 82.40, 413.66 
83.25, 0.00, 83.25, 413.66 
80.66, 0.00, 80.66, 413.66 
80.99, 0.00, 81.00, 413.66 
82.58, 0.00, 82.58, 413.66 
76.18, 0.00, 76.19, 413.66 
82.96, 0.00, 82.96, 413.66 
63.69, 0.00, 63.70, 413.66 
63.68, 0.00, 63.68, 413.66 
63.69, 0.00, 63.69, 413.66 
