User Time (s), System Time (s), Real Time (s), Executable Size (KB)
29.99, 0.00, 30.00, 403.78 
30.03, 0.00, 30.04, 403.78 
30.05, 0.00, 30.05, 403.78 
30.08, 0.00, 30.09, 403.78 
30.12, 0.00, 30.12, 403.78 
30.06, 0.00, 30.07, 403.78 
30.09, 0.00, 30.10, 403.78 
30.10, 0.00, 30.11, 403.78 
30.01, 0.00, 30.01, 403.78 
30.04, 0.00, 30.04, 403.78 
30.28, 0.00, 30.28, 403.78 
31.33, 0.00, 31.33, 403.78 
32.97, 0.00, 32.98, 403.78 
30.02, 0.00, 30.03, 403.78 
30.12, 0.00, 30.12, 403.78 
34.68, 0.00, 34.69, 403.78 
31.23, 0.00, 31.23, 403.78 
30.11, 0.00, 30.11, 403.78 
37.93, 0.00, 37.94, 403.78 
30.09, 0.00, 30.09, 403.78 
30.00, 0.00, 30.00, 403.78 
30.02, 0.00, 30.03, 403.78 
29.96, 0.00, 29.97, 403.78 
30.01, 0.00, 30.01, 403.78 
30.01, 0.00, 30.01, 403.78 
30.02, 0.00, 30.02, 403.78 
29.97, 0.00, 29.98, 403.78 
29.97, 0.00, 29.97, 403.78 
30.00, 0.00, 30.01, 403.78 
29.98, 0.00, 29.99, 403.78 
