User Time (s), System Time (s), Real Time (s), Executable Size (KB)
33.11, 3.40, 17.73, 281.36 
65.20, 4.81, 40.35, 281.36 
32.59, 3.47, 17.69, 281.36 
42.36, 3.95, 23.04, 281.36 
32.66, 3.72, 17.70, 281.36 
50.21, 4.00, 29.22, 281.36 
44.15, 3.09, 23.52, 281.36 
46.39, 4.21, 25.61, 281.36 
43.10, 4.73, 23.60, 281.36 
42.07, 4.12, 22.65, 281.36 
32.90, 3.67, 17.91, 281.36 
48.51, 4.33, 26.98, 281.36 
34.08, 3.73, 18.42, 281.36 
51.58, 4.46, 30.34, 281.36 
65.49, 4.43, 40.02, 281.36 
32.94, 3.21, 17.91, 281.36 
33.56, 3.44, 18.06, 281.36 
46.04, 4.06, 25.60, 281.36 
55.98, 4.59, 34.04, 281.36 
44.38, 3.85, 24.74, 281.36 
32.29, 3.73, 17.58, 281.36 
64.24, 5.42, 40.75, 281.36 
48.36, 4.42, 27.76, 281.36 
37.63, 3.69, 20.55, 281.36 
43.33, 4.10, 23.76, 281.36 
44.12, 3.98, 23.79, 281.36 
55.75, 4.20, 32.58, 281.36 
32.85, 3.36, 17.65, 281.36 
50.27, 4.11, 27.92, 281.36 
42.75, 3.69, 22.92, 281.36 
