User Time (s), System Time (s), Real Time (s)
16.48, 0.22, 15.85
16.48, 0.14, 15.84
16.44, 0.16, 15.84
16.53, 0.13, 15.84
16.61, 0.14, 15.85
16.55, 0.18, 15.85
16.46, 0.19, 15.85
16.42, 0.14, 15.83
16.53, 0.14, 15.85
16.61, 0.14, 15.85
16.50, 0.14, 15.84
16.57, 0.19, 15.84
16.42, 0.16, 15.84
16.54, 0.14, 15.85
16.58, 0.17, 15.85
16.58, 0.14, 15.84
16.52, 0.14, 15.84
16.45, 0.23, 15.86
16.47, 0.16, 15.84
16.56, 0.14, 15.85
16.46, 0.20, 15.84
16.43, 0.16, 15.84
16.55, 0.24, 15.85
16.48, 0.20, 15.85
16.54, 0.13, 15.86
16.49, 0.13, 15.84
16.48, 0.15, 15.84
16.52, 0.14, 15.85
16.57, 0.18, 15.85
16.48, 0.17, 15.84
