User Time (s), System Time (s), Real Time (s)
401.35, 0.06, 401.45
407.52, 0.05, 407.61
401.08, 0.06, 401.18
407.75, 0.05, 407.84
402.61, 0.05, 402.71
415.27, 0.05, 415.36
399.81, 0.04, 399.89
407.88, 0.06, 408.00
411.03, 0.04, 411.13
411.21, 0.05, 411.31
410.56, 0.05, 410.65
408.85, 0.07, 408.96
410.51, 0.06, 410.61
398.06, 0.04, 398.15
409.15, 0.04, 409.24
408.95, 0.05, 409.04
400.20, 0.05, 400.29
409.58, 0.06, 409.69
409.47, 0.03, 409.54
401.26, 0.06, 401.36
397.75, 0.06, 397.85
402.39, 0.10, 402.56
412.60, 0.11, 412.81
412.94, 0.09, 413.13
412.33, 0.13, 412.52
412.43, 0.05, 412.52
406.85, 0.05, 406.95
411.84, 0.09, 412.02
404.20, 0.13, 404.44
399.04, 0.07, 399.15
