User Time (s), System Time (s), Real Time (s)
610.02, 1.21, 611.33
627.50, 1.10, 628.76
614.69, 1.37, 616.18
617.51, 1.16, 618.79
613.35, 1.26, 614.68
606.95, 1.27, 608.27
608.72, 1.27, 610.06
620.36, 1.26, 621.68
607.81, 1.27, 609.13
607.37, 1.45, 608.88
607.38, 1.23, 608.67
610.68, 1.25, 611.98
624.20, 1.23, 625.49
609.84, 1.33, 611.23
608.20, 1.28, 609.54
607.51, 1.31, 608.88
609.70, 1.35, 611.11
607.33, 1.15, 608.56
610.30, 1.28, 611.65
607.07, 1.23, 608.36
620.13, 1.31, 621.51
615.81, 1.19, 617.07
609.65, 1.29, 611.01
607.64, 1.39, 609.09
607.69, 1.31, 609.07
611.43, 1.23, 612.73
620.23, 1.25, 621.54
607.41, 1.25, 608.69
607.28, 1.37, 608.71
608.35, 1.29, 609.69
