User Time (s), System Time (s), Real Time (s), Executable Size (KB)
12.90, 0.00, 12.90, 5262.91 
12.90, 0.00, 12.90, 5262.91 
12.89, 0.00, 12.89, 5262.91 
12.90, 0.00, 12.90, 5262.91 
12.90, 0.00, 12.90, 5262.91 
12.90, 0.00, 12.90, 5262.91 
12.90, 0.00, 12.91, 5262.91 
12.89, 0.00, 12.89, 5262.91 
12.91, 0.00, 12.91, 5262.91 
12.90, 0.00, 12.91, 5262.91 
12.90, 0.00, 12.90, 5262.91 
12.90, 0.00, 12.90, 5262.91 
12.89, 0.00, 12.89, 5262.91 
12.90, 0.00, 12.90, 5262.91 
12.90, 0.00, 12.90, 5262.91 
12.90, 0.00, 12.90, 5262.91 
12.89, 0.00, 12.89, 5262.91 
12.90, 0.00, 12.90, 5262.91 
12.90, 0.00, 12.90, 5262.91 
12.90, 0.00, 12.90, 5262.91 
12.89, 0.00, 12.89, 5262.91 
12.89, 0.00, 12.89, 5262.91 
12.90, 0.00, 12.90, 5262.91 
12.90, 0.00, 12.91, 5262.91 
12.90, 0.00, 12.91, 5262.91 
12.90, 0.00, 12.90, 5262.91 
12.89, 0.00, 12.89, 5262.91 
12.90, 0.00, 12.90, 5262.91 
12.91, 0.00, 12.91, 5262.91 
12.90, 0.00, 12.91, 5262.91 
