User Time (s), System Time (s), Real Time (s), Executable Size (KB)
96.82, 0.00, 96.83, 5281.63 
96.82, 0.00, 96.83, 5281.63 
96.80, 0.00, 96.81, 5281.63 
96.80, 0.00, 96.81, 5281.63 
96.80, 0.00, 96.82, 5281.63 
96.79, 0.00, 96.80, 5281.63 
96.79, 0.00, 96.79, 5281.63 
96.82, 0.00, 96.83, 5281.63 
96.81, 0.00, 96.82, 5281.63 
96.84, 0.00, 96.85, 5281.63 
96.81, 0.00, 96.82, 5281.63 
96.81, 0.00, 96.82, 5281.63 
96.81, 0.00, 96.81, 5281.63 
96.83, 0.00, 96.84, 5281.63 
96.81, 0.00, 96.82, 5281.63 
96.82, 0.00, 96.84, 5281.63 
96.80, 0.00, 96.81, 5281.63 
96.79, 0.00, 96.80, 5281.63 
96.80, 0.00, 96.80, 5281.63 
96.81, 0.00, 96.82, 5281.63 
96.81, 0.00, 96.82, 5281.63 
96.82, 0.00, 96.83, 5281.63 
96.83, 0.00, 96.83, 5281.63 
96.85, 0.00, 96.86, 5281.63 
96.80, 0.00, 96.80, 5281.63 
96.78, 0.00, 96.79, 5281.63 
96.81, 0.00, 96.81, 5281.63 
96.79, 0.00, 96.80, 5281.63 
96.81, 0.00, 96.82, 5281.63 
96.82, 0.00, 96.84, 5281.63 
